OID_,start_DomLoc,end_DomLoc,FlowDir,multInt,long,lat,hl_link,hf_id,poi_id,hl_uri,START_X,START_Y,END_X,END_Y,order_,flowpath_id,TopWdth,TopWdthCC
68,o,i,1,0,-149.583778380000012,59.948300559400003,Alaska68,118548.000000000000000,417,coastal-Alaska68,-149.667689746000008,60.004070870200003,-149.561972913000005,59.952959591499997,1.000000000000000,wb-1016,7.657180752334200,22.971542257002600
69,o,i,1,0,-149.567201893999993,59.981711209300002,Alaska69,294949.000000000000000,650,coastal-Alaska69,-149.569092640999997,59.992626400200002,-149.523138170999999,59.954737381900003,1.000000000000000,wb-1019,9.476850792648520,28.430552377945499
70,o,i,1,0,-149.516407205000007,59.958314974499999,Alaska70,100071.000000000000000,248,coastal-Alaska70,-149.499405835999994,59.966737428999998,-149.523138170999999,59.954737381900003,1.000000000000000,wb-1022,5.622372435595950,16.867117306787801
71,o,i,1,0,-148.746116787999995,59.961683469400000,Alaska71,200870.000000000000000,548,coastal-Alaska71,-148.711276303999995,59.980404270900003,-148.750111034000014,59.958181962200001,2.000000000000000,wb-1074,10.227295596819500,30.681886790458499
72,o,i,1,0,-148.786993324999997,60.007509932300003,Alaska72,263025.000000000000000,618,coastal-Alaska72,-148.769096961000002,60.040737812899998,-148.790671787999997,59.993404305200002,2.000000000000000,wb-1051,15.844070397264399,47.532211191793202
73,o,i,1,0,-148.769028012000007,59.989662009400000,Alaska73,120229.000000000000000,436,coastal-Alaska73,-148.764350460000003,59.989737629499999,-148.790671787999997,59.993404305200002,1.000000000000000,wb-1068,5.491891368884150,16.475674106652399
74,o,i,1,0,-148.805627912000006,59.973551127900002,Alaska74,93350.000000000000000,201,coastal-Alaska74,-148.807931661999987,59.974515345299999,-148.780100097000002,59.976626468500001,1.000000000000000,wb-1069,5.805309107079300,17.415927321237898
75,o,i,1,1,-148.926066702000014,59.975008789900002,Alaska75,91670.000000000000000,187,coastal-Alaska75,-148.914295707999997,59.973404213199998,-148.944069012999989,59.975181992600000,1.000000000000000,wb-1093,5.400361179142180,16.201083537426499
76,o,i,1,0,-148.925880955999986,59.989215617600003,Alaska76,303349.000000000000000,662,coastal-Alaska76,-148.925514644000003,59.989626492200003,-148.931987098999997,59.984848696100002,2.000000000000000,wb-1086,10.704176086736100,32.112528260208300
77,o,i,1,0,-148.928926861999997,59.982515354599997,Alaska77,118549.000000000000000,418,coastal-Alaska77,-148.899840562999998,59.987737600599999,-148.931987098999997,59.984848696100002,1.000000000000000,wb-1092,6.086587731394570,18.259763194183702
