OID_,long,lat,hl_link,domain,END_X,END_Y,START_X,START_Y,start_DomLoc,end_DomLoc,FlowDir,multInt,flag,poi_id,flowpath_id,order_,TopWdth,TopWdthCC,nex_id
279,-65.523896978162952,18.121119275034573,PRVI279,PRVI,-65.522771100100002,18.127715595200002,-65.523407366800001,18.116540325199999,o,i,1,0,,328,wb-1787,1.000000000000000,4.841767361730210,14.525302085190599,tnx-1000000592
280,-66.243970181178895,18.354846262445108,PRVI280,PRVI,-66.243855216000000,18.354965593900001,-66.256992730299999,18.343356579900000,o,i,1,0,,392,wb-1035,1.000000000000000,5.326597036132220,15.979791108396700,nex-1036
281,-66.912251282770455,18.009262841806731,PRVI281,PRVI,-66.916761419400004,18.008725300500000,-66.902551189199997,18.018454532700002,o,i,1,0,,355,wb-534,1.000000000000000,7.215868725276650,21.647606175829999,nex-535
282,-67.173581590717788,18.037517596160171,PRVI282,PRVI,-67.174789207600000,18.033661674600001,-67.173435673900002,18.039848143099999,o,i,1,0,,409,wb-4288,1.000000000000000,3.130596428952870,9.391789286858620,nex-1504
283,-67.146449913332788,18.030936163173465,PRVI283,PRVI,-67.156382201900001,18.029019273500001,-67.141403397399998,18.035680075700000,o,i,1,0,,361,wb-1139,1.000000000000000,5.086896198594020,15.260688595782099,nex-1140
284,-67.142640023618128,18.146986463354665,PRVI284,PRVI,-67.146862001000002,18.149161508900001,-67.139824398800002,18.149760975900001,o,i,1,0,,364,wb-687,1.000000000000000,3.115555555555560,9.346666666666669,nex-688
285,-67.141805043567842,18.093232479195592,PRVI285,PRVI,-67.138311140100001,18.097002575000001,-67.142151865100004,18.086444290599999,o,i,1,0,,370,wb-4447,1.000000000000000,3.115555555555560,9.346666666666669,nex-1112
286,-67.159745869975893,18.038326804338624,PRVI286,PRVI,-67.156382201900001,18.029019273500001,-67.158346602699993,18.043306744399999,o,i,1,0,,372,wb-1756,1.000000000000000,5.185684360288980,15.557053080866901,nex-1140
287,-66.664510133835563,17.980447569699606,PRVI287,PRVI,-66.662950049000003,17.976654865800000,-66.667115250400002,17.983395734399998,o,i,1,0,,456,wb-1701,1.000000000000000,6.010879966378290,18.032639899134900,tnx-1000000252
288,-67.150808241107427,18.131042501510308,PRVI288,PRVI,-67.148917599200004,18.130596741000002,-67.158491670900005,18.132320303800000,o,i,1,0,,475,wb-343,1.000000000000000,3.115555555555560,9.346666666666669,nex-344
289,-66.905765189611770,18.004191917323169,PRVI289,PRVI,-66.898531122199998,18.011131672299999,-66.907827324899998,18.002625469600002,i,o,-1,0,,477,wb-81,1.000000000000000,3.602191411972590,10.806574235917800,tnx-1000000178
290,-67.169775740757814,18.034877915083769,PRVI290,PRVI,-67.174789207600000,18.033661674600001,-67.160973403699998,18.057355681800001,o,i,1,0,,478,wb-1503,1.000000000000000,3.927369237811680,11.782107713435099,nex-1504
291,-65.764515161045779,18.215551698851868,PRVI291,PRVI,-65.765956843300003,18.210458148899999,-65.768942378099993,18.241042557800000,o,i,1,0,,480,wb-2506,1.000000000000000,4.404485263637620,13.213455790912899,nex-2507
292,-66.598161735275824,17.998191729664654,PRVI292,PRVI,-66.599245696300002,17.993528338499999,-66.594558695100005,18.002969874600002,o,i,1,0,,481,wb-973,1.000000000000000,4.388659040638990,13.165977121917001,nex-974
293,-67.142242334416153,18.401315928687211,PRVI293,PRVI,-67.143970952299995,18.399893913700001,-67.141482603599997,18.401752782999999,o,i,1,0,,495,wb-3868,1.000000000000000,3.115555555555560,9.346666666666669,nex-685
294,-67.101140514623012,18.280632772784259,PRVI294,PRVI,-67.107128744099995,18.282858580999999,-67.098948828100006,18.282785293600000,o,i,1,1,,499,wb-289,3.000000000000000,18.643191860978401,55.929575582935200,nex-290
295,-65.869081000887434,18.048727876590306,PRVI295,PRVI,-65.868824872199994,18.050385900199998,-65.871171272500007,18.029773760699999,o,i,1,0,,508,wb-3808,1.000000000000000,3.957890826919380,11.873672480758099,nex-593
296,-67.125090247616811,18.278744906052623,PRVI296,PRVI,-67.126131263500000,18.280493414399999,-67.119518415599998,18.279070500600000,o,i,1,0,,517,wb-2357,1.000000000000000,3.115555555555560,9.346666666666669,nex-2358
297,-67.101910443112445,17.963727940791898,PRVI297,PRVI,-67.098252582900002,17.967718523100000,-67.102241850699997,17.963637921800000,i,o,1,0,,533,wb-52,1.000000000000000,3.115555555555560,9.346666666666669,tnx-1000000101
298,-67.210877247586893,18.364888317242105,PRVI298,PRVI,-67.209966890700002,18.366491238300000,-67.210721024199998,18.357913569099999,o,i,1,0,,537,wb-2303,1.000000000000000,3.115555555555560,9.346666666666669,nex-582
299,-67.168414111422067,17.976213718888062,PRVI299,PRVI,-67.175011206700006,17.974072923800001,-67.158441001599996,17.976938858200000,o,i,1,0,,545,wb-1644,1.000000000000000,3.561873895292880,10.685621685878600,nex-873
300,-66.226387820941170,17.979247472992540,PRVI300,PRVI,-66.224414980600002,17.978201139900001,-66.231160182799997,17.987286742500000,o,i,1,0,,547,wb-2650,1.000000000000000,3.115555555555560,9.346666666666669,nex-2651
301,-65.989964441205984,18.361435543815332,PRVI301,PRVI,-65.988914059500004,18.360357553800000,-65.991593848799994,18.361312056100001,o,i,1,0,,549,wb-1057,1.000000000000000,3.115555555555560,9.346666666666669,nex-1058
302,-66.673624328400024,18.443457782950361,PRVI302,PRVI,-66.681151129400007,18.448513270599999,-66.662189456600004,18.428763798500000,o,i,1,0,,569,wb-1782,1.000000000000000,10.270278633414501,30.810835900243401,nex-1783
303,-67.146228195374874,18.379819529147994,PRVI303,PRVI,-67.146034861900006,18.379678262900001,-67.148085653300001,18.384012524599999,i,o,1,0,,571,wb-2240,1.000000000000000,3.115555555555560,9.346666666666669,nex-537
304,-66.227311201650593,17.978332507239486,PRVI304,PRVI,-66.223873180400005,17.976848072799999,-66.239164210200002,17.983572767300000,o,i,1,0,,573,wb-671,1.000000000000000,7.051917312365550,21.155751937096699,nex-672
305,-67.138814749201288,18.117869773571215,PRVI305,PRVI,-67.138773706300000,18.117914962400000,-67.146312266999999,18.120847900600001,o,i,1,0,,576,wb-2098,1.000000000000000,3.115555555555560,9.346666666666669,nex-2099
