OID_,id,START_X,START_Y,END_X,END_Y,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link
305,800000016,-157.008912634000012,21.125732324600001,-157.046986032999996,21.096089326800001,o,i,1,0,-157.042322465000012,21.104844373199999,HI-306
306,800007983,-157.117658229999989,21.128168525900001,-157.108144363999997,21.111391792700001,o,i,1,0,-157.104853305999995,21.116464309400001,HI-307
307,800012433,-157.111569564000007,21.117806326400000,-157.108144363999997,21.111391792700001,o,i,1,0,-157.109659259000011,21.114491507499999,HI-308
308,800016881,-157.036759832999991,21.128792190799999,-157.058897432999999,21.105005192400000,o,i,1,0,-157.058898727000013,21.108884146200001,HI-309
309,800009070,-157.021908900999989,21.125468190799999,-157.059247833000001,21.099681526700000,o,i,1,0,-157.051503821000011,21.110015346000001,HI-310
310,800015724,-157.063004231999997,21.142864124300001,-157.097610830999997,21.118469526199998,o,i,1,0,-157.096313710999993,21.119571774099999,HI-311
311,800016946,-156.935547503999999,21.072776592600000,-156.938943104000003,21.065086193100001,o,i,1,0,-156.937882136000013,21.065769585000002,HI-312
312,800016954,-156.930379835999986,21.169129987200002,-156.930563436000000,21.169565920200000,o,i,1,0,-156.930480042999989,21.169396611200000,HI-313
313,800007964,-157.242321226000001,21.170407724000000,-157.253438224999996,21.175248723900001,o,i,1,0,-157.247648504000011,21.174453587900000,HI-314
314,800014623,-157.168489628999993,21.116231793200001,-157.166425828999991,21.092106528500000,o,i,1,0,-157.165443068999991,21.095664583300000,HI-315
315,800009071,-157.008725101000010,21.119241724999998,-157.042551099999997,21.096288392700000,o,i,1,0,-157.040120688000002,21.103128706300001,HI-316
316,800004523,-157.003216100999992,21.116841190999999,-157.031292901000000,21.090834192799999,o,i,1,0,-157.026367114000010,21.095758344499998,HI-317
317,800013507,-156.849856839000012,21.095814324300001,-156.837399040000008,21.059688392100000,o,i,1,0,-156.837614792000011,21.060098014000001,HI-318
318,800017019,-156.844940439999988,21.067948325700002,-156.841529439999988,21.053859592399998,o,i,1,0,-156.841444948999992,21.057266071299999,HI-319
319,800003692,-156.773934840999999,21.166903318399999,-156.770639440999986,21.176074784899999,o,i,1,0,-156.770127042000013,21.174498987000000,HI-320
320,800014848,-156.744967108999987,21.156439918600000,-156.742729508999986,21.157625518500002,o,i,1,0,-156.743120774000005,21.157297386600000,HI-321
321,800014849,-156.744967108999987,21.156439918600000,-156.742729508999986,21.157625518500002,o,i,1,0,-156.742648158000009,21.156131487600000,HI-322
322,800017042,-156.817703641000008,21.068858391300001,-156.816493307999991,21.067012391399999,o,i,1,0,-156.816589377000014,21.067253733400001,HI-323
323,800014816,-156.825523040000007,21.079973524800000,-156.821569240999992,21.065406325500000,o,i,1,0,-156.821639360999995,21.065663785500000,HI-324
324,800007967,-157.233872625999993,21.178791390499999,-157.247637757999996,21.181243923499999,o,i,1,0,-157.244588990000011,21.179645581500001,HI-325
325,800005731,-157.245880359000012,21.157337591800001,-157.258516224999994,21.170079191300001,o,i,1,0,-157.255023117000007,21.166491153399999,HI-326
326,800016854,-157.265607425000013,21.153584125300000,-157.270396825000006,21.160053391999998,o,i,1,0,-157.269845416999999,21.158624368100000,HI-327
327,800005726,-157.294447958000006,21.116918128700000,-157.297728425000003,21.118382128699999,o,i,1,0,-157.296047116000011,21.117627927699999,HI-328
328,800012399,-157.301773158000003,21.101505529699999,-157.308151624999994,21.104163329700000,o,i,1,0,-157.308106038999995,21.104124437700001,HI-329
329,800012417,-157.200561227999998,21.096239928700001,-157.202576160999996,21.089776929100001,o,i,1,0,-157.202091939000013,21.090883694999999,HI-330
330,800012407,-157.238554227000009,21.100621395000001,-157.241178759999997,21.087991395700001,o,i,1,0,-157.241120158999991,21.088606960700002,HI-331
331,800016947,-156.928334436999990,21.089524725600000,-156.942602703999995,21.065354793099999,o,i,1,0,-156.941948013999991,21.065963036100001,HI-332
332,800016968,-156.908872505000005,21.060686992899999,-156.911572704999998,21.056575527200000,o,i,1,0,-156.910505803000007,21.058733632100001,HI-333
333,800016948,-156.929375504000006,21.063476927100002,-156.928031237999988,21.061504727100001,o,i,1,0,-156.928898215000004,21.062089032100001,HI-334
334,800001299,-156.942865304000009,21.064775527199998,-156.943891436999991,21.063679993200001,i,o,-1,0,-156.943020173000008,21.064318478200001,HI-335
335,800012509,-156.939812636999989,21.075252792499999,-156.942602703999995,21.065354793099999,o,i,1,0,-156.942730633999986,21.066047882100001,HI-336
336,800005785,-156.974483701999986,21.101928991499999,-156.994609902000008,21.077736993100000,o,i,1,0,-156.994253178999998,21.078925940000001,HI-337
337,800016896,-156.995544235000011,21.099598391899999,-157.011684035000002,21.082655127100001,o,i,1,0,-157.008763511000012,21.086253141800000,HI-338
338,800014705,-156.954313702999997,21.079850326500001,-156.961849835999999,21.067786193200000,o,i,1,0,-156.961292465000014,21.068864481199999,HI-339
339,800014631,-157.108144363999997,21.111391792700001,-157.110139763999996,21.109156992799999,i,o,-1,0,-157.109592838999987,21.110001902800001,HI-340
340,800003504,-157.132076630000000,21.109484193099998,-157.126304430999994,21.098230593699999,o,i,1,0,-157.126537864999989,21.099174154600000,HI-341
341,800007978,-157.173094829000007,21.112520193400002,-157.174832562000006,21.092071994600001,o,i,1,0,-157.175261124000002,21.093300556599999,HI-342
342,800008192,-156.768974041999996,21.114844388200002,-156.751389042000000,21.101795522700002,o,i,1,0,-156.752271911999998,21.102763586599998,HI-343
343,800014657,-157.007248234999992,21.086458526800001,-157.010833501999997,21.082170593099999,o,i,1,0,-157.008518568000000,21.085991364800002,HI-344
344,800005725,-157.294447958000006,21.116918128700000,-157.298490758000014,21.116019928899998,o,i,1,0,-157.295733613000010,21.116454959799999,HI-345
345,800014642,-157.034394099999986,21.119428125300001,-157.050870766000003,21.100646926600000,o,i,1,0,-157.048194295000002,21.106790827200001,HI-346
346,800007599,-158.100751924999997,21.339423924399998,-158.106969125000006,21.321172125600000,o,i,1,0,-158.099441487000007,21.325560733300001,HI-347
347,800009790,-158.205034318999992,21.487830516399999,-158.220074584999992,21.478336250100000,o,i,1,0,-158.220134882999986,21.478535265100000,HI-348
348,800007552,-158.186095985000009,21.570999710999999,-158.185712719000009,21.573984643799999,o,i,1,0,-158.186208799000013,21.571903669899999,HI-349
349,800009809,-158.177700519000012,21.569610244000000,-158.178005385000006,21.574192310699999,o,i,1,0,-158.177368957999988,21.571586386800000,HI-350
350,800007872,-157.849134534000001,21.342594188300001,-157.866349337999992,21.330722899200001,o,i,1,0,-157.865441029000010,21.331917199100001,HI-351
