OID_,id,START_X,START_Y,END_X,END_Y,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link
139,800038954,-67.135660064099994,18.141489773699998,-67.138727007000000,18.138843378899999,o,i,1,0,-67.138162422899995,18.139234986999998,PRVI-140
140,800026064,-67.133691796500003,18.142205173899999,-67.138727007000000,18.138843378899999,o,i,1,0,-67.134045628600006,18.139192762000000,PRVI-141
141,800028165,-67.140641865700005,18.144501774500000,-67.150511087699996,18.142059061600001,o,i,1,1,-67.143758602700004,18.145305350699999,PRVI-142
142,800026061,-67.139824398599998,18.149760976100001,-67.146862000699997,18.149161508799999,o,i,1,0,-67.142640023400006,18.146986463200001,PRVI-143
143,800032455,-67.141435999199999,18.154653777499998,-67.157659056200004,18.156192095700000,o,i,1,0,-67.145358628400004,18.154691355400001,PRVI-144
144,800036763,-67.142442866500005,18.158967978700002,-67.150599869000004,18.156133510800000,o,i,1,0,-67.146197719699998,18.156208060899999,PRVI-145
145,800023815,-67.135272997499996,18.166556981100001,-67.156445225799999,18.156699838900000,o,i,1,0,-67.148164010399995,18.162619617699999,PRVI-146
146,800023806,-67.166913873900000,18.148903108399999,-67.167590274199995,18.152276509400000,o,i,1,0,-67.168050849300002,18.151294705100000,PRVI-147
147,800023807,-67.160439004799997,18.142486173599998,-67.156818870799995,18.145753374600002,o,i,1,0,-67.157620618999999,18.144433842200002,PRVI-148
148,800032448,-67.163486605800003,18.145997574599999,-67.162857072700007,18.150242775900001,o,i,1,0,-67.163308346799994,18.149042287499999,PRVI-149
149,800034530,-67.171618075400005,18.150307975699999,-67.175756209699998,18.151565776000002,o,i,1,0,-67.173097597899996,18.151127191000000,PRVI-150
150,800038856,-67.174067076000000,18.142606973400000,-67.175708676599996,18.145411307200000,o,i,1,0,-67.175163918400003,18.144298270899998,PRVI-151
151,800025973,-67.167101673900007,18.143634506800002,-67.175708676599996,18.145411307200000,o,i,1,0,-67.174605914300002,18.144988139100001,PRVI-152
152,800036748,-67.149548000999999,18.118058299600001,-67.164598145599996,18.114822728400000,o,i,1,0,-67.161943850800000,18.115498959600000,PRVI-153
153,800030299,-67.154762002499993,18.111771964599999,-67.163664672300001,18.114426498299999,o,i,1,0,-67.160203730199996,18.112640264800000,PRVI-154
154,800036746,-67.165801805900003,18.106918495999999,-67.163664672300001,18.114426498299999,o,i,1,0,-67.163280379200003,18.112799333800002,PRVI-155
155,800034527,-67.166018605900007,18.102636494799999,-67.172214607800001,18.102502977600000,o,i,1,0,-67.171146066500000,18.102755077699999,PRVI-156
156,800032412,-67.165712272700006,18.096592093000002,-67.172214607800001,18.102502977600000,o,i,1,0,-67.170176565099993,18.101880091500000,PRVI-157
157,800023772,-67.169310606400003,18.070625152300000,-67.183446367700000,18.069706420799999,o,i,1,0,-67.169686105500006,18.070502705199999,PRVI-158
158,800036713,-67.167302005500005,18.057604348500000,-67.184810210999999,18.059042348599998,o,i,1,0,-67.183133530399999,18.058372831400000,PRVI-159
159,800032507,-67.140334262099998,18.174078713200000,-67.142308866799993,18.174608716400002,o,i,1,0,-67.141656849599997,18.174569433399999,PRVI-160
